Aggravating Factor
heightens
amplifies
augments
exaggerates
magnifies
deteriorates
complicates
alarms
exacerbates with
worsens off
aggravates
exacerbates
heightens
intensifies
amplifies
triggers
provokes
escalates
increases
exaggerates
magnifies
compounds
worsens 
worse with 
