Relieving Factors 
better
improving
easing
alleviating
relieving
diminishing
lessening
resolving
soothing
ameliorating
mitigating
calming
subsiding
abating
improving with
comfort
improves
eases
alleviates
relieves
lessens
soothes
helps
comfortable
manageable
relief
